 [2023-03-22 23:06:32,525] - [backtest_tmp.py] - [day:2023-03-08, 海龟交易法则 在 5 天后, 总数:233, 成功数:33, 失败数:176, 成功率: 14.16%, 失败率 75.54%]
 [2023-03-22 23:06:32,545] - [backtest_tmp.py] - [day:2023-03-08, 放量上涨 在 5 天后, 总数:7, 成功数:1, 失败数:6, 成功率: 14.29%, 失败率 85.71%]
 [2023-03-22 23:06:33,101] - [backtest_tmp.py] - [day:2023-03-08, 突破平台 在 5 天后, 总数:252, 成功数:39, 失败数:190, 成功率: 15.48%, 失败率 75.40%]
 [2023-03-22 23:06:33,333] - [backtest_tmp.py] - [day:2023-03-08, 均线多头 在 5 天后, 总数:71, 成功数:16, 失败数:51, 成功率: 22.54%, 失败率 71.83%]
 [2023-03-22 23:06:33,348] - [backtest_tmp.py] - [day:2023-03-08, 无大幅回撤 在 5 天后, 总数:4, 成功数:2, 失败数:2, 成功率: 50.00%, 失败率 50.00%]
 [2023-03-22 23:06:33,364] - [backtest_tmp.py] - [day:2023-03-08, 停机坪 在 5 天后, 总数:9, 成功数:1, 失败数:8, 成功率: 11.11%, 失败率 88.89%]
 [2023-03-22 23:06:34,723] - [backtest_tmp.py] - [day:2023-03-20, 海龟交易法则 在 5 天后, 总数:140, 成功数:0, 失败数:140, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:34,778] - [backtest_tmp.py] - [day:2023-03-20, 放量上涨 在 5 天后, 总数:10, 成功数:0, 失败数:10, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:35,425] - [backtest_tmp.py] - [day:2023-03-20, 突破平台 在 5 天后, 总数:104, 成功数:0, 失败数:104, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:35,735] - [backtest_tmp.py] - [day:2023-03-20, 均线多头 在 5 天后, 总数:28, 成功数:0, 失败数:28, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:35,786] - [backtest_tmp.py] - [day:2023-03-20, 无大幅回撤 在 5 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
